intencao,resposta
abrir_spotify,abrindo spotify agora
abrir_spotify,iniciando spotify para você
abrir_spotify,spotify sendo ativado
abrir_spotify,começando o spotify
abrir_spotify,colocando sua música no ar
abrir_spotify,ligando o player de música
abrir_spotify,preparando spotify
abrir_spotify,seu som vai tocar em instantes
abrir_spotify,spotify carregando
abrir_spotify,abrindo seu app de músicas
abrir_spotify,tocando spotify agora
abrir_spotify,dando play no spotify
abrir_spotify,spotify no comando
abrir_spotify,sistema de música iniciando
abrir_spotify,spotify vai começar
abrir_spotify,aplicativo de música sendo iniciado
abrir_spotify,pronto para ouvir no spotify
abrir_spotify,ibrindo a plataforma de áudio
abrir_spotify,spotify entrando em ação
abrir_spotify,estou abrindo o spotify
abrir_spotify,spotify pronto para uso
abrir_spotify,spotify subindo
abrir_spotify,preparando o show musical
abrir_spotify,chegando som do spotify
abrir_spotify,spotify no ar
abrir_spotify,ativando sua playlist
abrir_spotify,spotify carregado com sucesso
abrir_spotify,vou abrir seu spotify
abrir_spotify,spotify ativado
abrir_spotify,abrindo o mundo da música
abrir_spotify,spotify começando agora
abrir_spotify,ligando seu som
abrir_spotify,spotify em execução
abrir_spotify,só um instante spotify iniciando
abrir_spotify,tudo pronto spotify aberto
abrir_spotify,spotify à sua disposição
abrir_spotify,iniciando streaming via spotify
abrir_spotify,vamos de spotify
abrir_spotify,spotify vai rodar já
abrir_spotify,dando acesso ao spotify
abrir_spotify,spotify em modo play
abrir_spotify,iniciando trilha sonora
abrir_spotify,spotify carregado
abrir_spotify,spotify sendo preparado
abrir_spotify,pronto o spotify está aberto
abrir_spotify,spotify firm up
abrir_spotify,ouça seu som no spotify
abrir_spotify,spotify no ponto de tocar


fechar_spotify,encerrando spotify agora
fechar_spotify,spotify sendo fechado
fechar_spotify,parando o spotify
fechar_spotify,desligando o player de música
fechar_spotify,spotify off
fechar_spotify,música finalizada
fechar_spotify,aplicativo de música encerrado
fechar_spotify,spotify concluído
fechar_spotify,finalizando spotify
fechar_spotify,comando de fechar spotify executado
fechar_spotify,spotify desmontado
fechar_spotify,player de música desligado
fechar_spotify,spotify saindo do ar
fechar_spotify,aplicativo de som finalizado
fechar_spotify,spotify encerrado com sucesso
fechar_spotify,parada a reprodução
fechar_spotify,desativando spotify
fechar_spotify,spotify fora de operação
fechar_spotify,sessão de música finalizada
fechar_spotify,spotify não está mais ativo
fechar_spotify,música parada
fechar_spotify,player de áudio fechado
fechar_spotify,spotify finalizado
fechar_spotify,encerrado o spotify
fechar_spotify,stop spotify
fechar_spotify,player desligado
fechar_spotify,spotify off completa
fechar_spotify,sem som agora
fechar_spotify,finaliza som
fechar_spotify,spotify concluído
fechar_spotify,tudo parado no spotify
fechar_spotify,fechando o app de música
fechar_spotify,encerrando o áudio
fechar_spotify,spotify desconectado
fechar_spotify,música desligada
fechar_spotify,spotify quitado
fechar_spotify,desligando a playlist
fechar_spotify,spotify abortado
fechar_spotify,player de música finalizado
fechar_spotify,sem áudio no spotify
fechar_spotify,modo silêncio ativado
fechar_spotify,finalizo o spotify
fechar_spotify,spotify sem operação
fechar_spotify,parando tudo
fechar_spotify,aplicativo encerrado
fechar_spotify,spotify fechado


enviar_mensagem,vou enviar sua mensagem agora
enviar_mensagem,sua mensagem está a caminho
enviar_mensagem,mandando a mensagem
enviar_mensagem,recado sendo enviado
enviar_mensagem,ok iniciando o envio
enviar_mensagem,tudo certo enviando
enviar_mensagem,envio da mensagem em progresso
enviar_mensagem,preparando mensagem
enviar_mensagem,processando envio
enviar_mensagem,só um instante mandando
enviar_mensagem,recado a caminho
enviar_mensagem,claro mandando a mensagem
enviar_mensagem,pronto mensagem enviada
enviar_mensagem,enviando para o contato
enviar_mensagem,mensagem disparada
enviar_mensagem,seu recado está indo
enviar_mensagem,confirmando envio
enviar_mensagem,seu pedido está em ação
enviar_mensagem,enviando sua mensagem
enviar_mensagem,mensagem já foi enviada
enviar_mensagem,mandando agora mesmo
enviar_mensagem,executando envio
enviar_mensagem,sua mensagem saiu
enviar_mensagem,envio concluído
enviar_mensagem,mensagem despachada
enviar_mensagem,mandando com sucesso
enviar_mensagem,recado entregue em breve
enviar_mensagem,envio finalizado
enviar_mensagem,agora sua mensagem está lá
enviar_mensagem,tudo pronto saiu
enviar_mensagem,vou cuidar do envio
enviar_mensagem,confirmado enviado
enviar_mensagem,seu recado foi enviado
enviar_mensagem,mensagem pronta e enviada
enviar_mensagem,encaminhando mensagem
enviar_mensagem,sua mensagem partiu
enviar_mensagem,mensagem enviada com êxito
enviar_mensagem,vou despachar agora
enviar_mensagem,ok mensagem no ar
enviar_mensagem,entrega da mensagem feita
enviar_mensagem,envio em segundos
enviar_mensagem,recado processado
enviar_mensagem,seu texto foi enviado
enviar_mensagem,mandando texto agora
enviar_mensagem,envio automático executado
enviar_mensagem,fio de mensagem enviado
enviar_mensagem,foi enviada


abrir_red,abrindo Red Dead Redemption agora
abrir_red,iniciando Red Dead Redemption
abrir_red,Red Dead Redemption está carregando
abrir_red,preparando o jogo Red Dead
abrir_red,subindo Red Dead Redemption
abrir_red,Red Dead vai começar
abrir_red,ligando Red Dead Redemption
abrir_red,carregando aventura no Velho Oeste
abrir_red,Red Dead Redemption em execução
abrir_red,pronto para explorar Red Dead
abrir_red,Red Dead Redemption iniciando
abrir_red,iniciando faroeste virtual
abrir_red,abrindo mundo do Red Dead
abrir_red,executando Red Dead Redemption
abrir_red,Red Dead  aí
abrir_red,ativando Red Dead Redemption
abrir_red,vamos para o Velho Oeste
abrir_red,abrindo cenário de Red Dead
abrir_red,Red Dead Redemption subindo
abrir_red,pronto o jogo vai começar
abrir_red,abrindo tela de Red Dead
abrir_red,iniciando jornada no faroeste
abrir_red,vamos jogar Red Dead Redemption
abrir_red,Red Dead já vai abrir
abrir_red, mapa do Velho Oeste abrindo
abrir_red,Red Dead Redemption no ar
abrir_red,preparando seus cavalos virtuais
abrir_red,abrindo vigília no faroeste
abrir_red,Red Dead Redemption ativado
abrir_red,pronto para duelar no Red Dead
abrir_red,abrindo jogo de cowboy
abrir_red,Red Dead Redemption está vindo
abrir_red,subindo faroeste digital
abrir_red,abrindo aventura da Rockstar
abrir_red,Red Dead Redemption iniciando agora
abrir_red,acesse o Velho Oeste com Red Dead
abrir_red,Red Dead pronto para uso
abrir_red,começando sua missão no faroeste
abrir_red,abrindo jogo de Arthur Morgan
abrir_red,Red Dead Redemption carregado
abrir_red,preparando ambiente de Red Dead
abrir_red,iniciando o mundo aberto do faroeste
abrir_red,Red Dead Redemption será executado
abrir_red,pronto para ser um pistoleiro
abrir_red,Red Dead Redemption vai rodar
abrir_red,iniciando jogo de cowboy
abrir_red,vamos galopar no Red Dead
abrir_red,Red Dead Redemption está pronto

fechar_red,fechando Red Dead Redemption agora
fechar_red,Red Dead Redemption sendo encerrado
fechar_red,parando Red Dead Redemption
fechar_red,desligando o jogo de faroeste
fechar_red,finalizando Red Dead Redemption
fechar_red,Red Dead Redemption off
fechar_red,saindo de Red Dead Redemption
fechar_red,jogo de cowboy encerrado
fechar_red,Red Dead Redemption fechado
fechar_red,encerrando sua aventura no faroeste
fechar_red,Red Dead Redemption concluído
fechar_red,aplicativo do Red Dead fechado
fechar_red,fechar Red Dead Redemption
fechar_red,Red Dead fora do ar
fechar_red,desconectando de Red Dead Redemption
fechar_red,Red Dead Redemption finalizado
fechar_red,parada a jornada no faroeste
fechar_red,encerrei o Red Dead Redemption
fechar_red,player de faroeste desligado
fechar_red,Red Dead Redemption quitado
fechar_red,acabando com Red Dead Redemption
fechar_red,Red Dead Redemption não está mais ativo
fechar_red,stop Red Dead Redemption
fechar_red,Red Dead Redemption cancelado
fechar_red,finalizei Red Dead Redemption
fechar_red,Red Dead Redemption parou
fechar_red,desativando Red Dead Redemption
fechar_red,Red Dead Redemption fora do sistema
fechar_red,jogo de cowboy desconectado
fechar_red,finalização de Red Dead Redemption feita
fechar_red,Red Dead Redemption silenciado
fechar_red,Red Dead Redemption pausado e fechado
fechar_red,Red Dead Redemption encerrado com êxito
fechar_red,Red Dead Redemption saiu
fechar_red,concluindo Red Dead Redemption
fechar_red,Red Dead Redemption não está mais rodando
fechar_red,Red Dead Redemption cancelado
fechar_red,Red Dead Redemption desmontado
fechar_red,escort Red Dead Redemption concluída
fechar_red,Red Dead Redemption desativado
fechar_red,Red Dead Redemption desligado
fechar_red,jogo de faroeste finalizado
fechar_red,Red Dead Redemption session closed


encerrar_conversa,conversa encerrada por agora
encerrar_conversa,até a próxima
encerrar_conversa,vou desligar por enquanto
encerrar_conversa,foi bom conversar com você
encerrar_conversa,encerrando o bate-papo
encerrar_conversa,tchau por agora
encerrar_conversa,desligando o assistente
encerrar_conversa,vou fazer uma pausa
encerrar_conversa,conversa finalizada
encerrar_conversa,é isso por hoje
encerrar_conversa,finalizando a sessão
encerrar_conversa,tudo certo até mais
encerrar_conversa,conversa concluída
encerrar_conversa,desligando tudo
encerrar_conversa,foi um prazer ajudar
encerrar_conversa,terminando por aqui
encerrar_conversa,saindo agora
encerrar_conversa,vou encerrar a conversa
encerrar_conversa,parando por aqui
encerrar_conversa,conversa encerrada com sucesso
encerrar_conversa,até logo
encerrar_conversa,encerrando interação
encerrar_conversa,tchau tchau
encerrar_conversa,pausa ativada
encerrar_conversa,adeus
encerrar_conversa,modo silencioso ativado
encerrar_conversa,até breve
encerrar_conversa,comando de encerramento executado
encerrar_conversa,desligando microfone
encerrar_conversa,pronto desliguei
encerrar_conversa,finalizando diálogo
encerrar_conversa,vou ficar off agora
encerrar_conversa,tudo certo vou desligar
encerrar_conversa,a conversa terminou
encerrar_conversa,bye bye
encerrar_conversa,conversa pausada
encerrar_conversa,até mais ver
encerrar_conversa,parada de papo
encerrar_conversa,encerrar tudo
encerrar_conversa,shutdown de conversa
encerrar_conversa,sessão de chat finalizada
encerrar_conversa,vou descansar agora
encerrar_conversa,tudo pronto ficando off
encerrar_conversa,bye bye
encerrar_conversa,conversa abortada
encerrar_conversa,fechar chat
